,Exploits,Fraudlent Services,Malware,Phishing,Spammers,Unlabelled,Unwanted Programs,Totals
2007-01-11,0.0,6.0,5.0,0.0,0.0,0.0,9.0,20.0
2007-01-12,0.0,1.0,9.0,0.0,0.0,0.0,3.0,13.0
2007-01-23,0.0,1.0,118.0,0.0,0.0,0.0,13.0,132.0
2007-02-11,0.0,2.0,17.0,0.0,0.0,0.0,15.0,34.0
2007-03-02,0.0,1.0,23.0,0.0,0.0,0.0,6.0,30.0
2007-03-12,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0
2007-04-03,0.0,2.0,19.0,0.0,0.0,0.0,8.0,29.0
2007-04-27,0.0,2.0,28.0,0.0,0.0,0.0,34.0,64.0
2007-04-28,0.0,104.0,20.0,0.0,0.0,0.0,0.0,124.0
2007-05-14,0.0,3.0,13.0,0.0,0.0,0.0,7.0,23.0
2007-05-29,0.0,0.0,7.0,0.0,0.0,0.0,1.0,8.0
2007-06-21,0.0,2.0,2.0,0.0,0.0,0.0,30.0,34.0
2007-07-10,0.0,0.0,2.0,0.0,0.0,0.0,8.0,10.0
2007-07-25,0.0,11.0,5.0,0.0,0.0,0.0,3.0,19.0
2007-07-26,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0
2007-08-16,0.0,2.0,4.0,0.0,0.0,0.0,3.0,9.0
2007-08-30,0.0,1.0,424.0,0.0,0.0,0.0,0.0,425.0
2007-09-19,0.0,9.0,14.0,0.0,0.0,0.0,2.0,25.0
2007-10-04,0.0,8.0,17.0,0.0,0.0,0.0,2.0,27.0
2007-10-16,0.0,3.0,28.0,0.0,0.0,0.0,7.0,38.0
2007-10-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2007-10-31,0.0,4.0,10.0,0.0,0.0,0.0,8.0,22.0
2007-11-01,0.0,0.0,7.0,0.0,0.0,0.0,1.0,8.0
2007-11-02,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0
2007-11-03,0.0,2.0,7.0,0.0,0.0,0.0,1.0,10.0
2007-11-06,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
2007-11-20,0.0,2.0,45.0,0.0,0.0,0.0,2.0,49.0
2007-12-01,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0
2007-12-04,0.0,1.0,71.0,0.0,0.0,0.0,1.0,73.0
2007-12-18,0.0,15.0,12.0,0.0,0.0,0.0,2.0,29.0
2007-12-19,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
2007-12-20,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
2008-01-03,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-01-15,0.0,0.0,31.0,0.0,0.0,0.0,6.0,37.0
2008-01-16,0.0,0.0,14.0,0.0,0.0,0.0,2.0,16.0
2008-01-30,0.0,16.0,9.0,0.0,0.0,0.0,0.0,25.0
2008-02-11,0.0,8.0,45.0,0.0,0.0,0.0,6.0,59.0
2008-02-22,0.0,2.0,43.0,0.0,0.0,0.0,4.0,49.0
2008-02-23,0.0,0.0,6.0,0.0,0.0,0.0,3.0,9.0
2008-02-24,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0
2008-02-28,0.0,3.0,5.0,0.0,0.0,0.0,133.0,141.0
2008-03-06,0.0,7.0,16.0,0.0,0.0,0.0,20.0,43.0
2008-03-07,0.0,0.0,6.0,0.0,0.0,0.0,1.0,7.0
2008-03-19,0.0,13.0,5.0,0.0,0.0,0.0,1.0,19.0
2008-03-20,0.0,1.0,19.0,0.0,0.0,0.0,5.0,25.0
2008-03-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2008-03-24,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-03-25,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0
2008-03-26,0.0,4.0,9.0,0.0,0.0,0.0,0.0,13.0
2008-03-27,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
2008-03-28,0.0,0.0,5.0,0.0,0.0,0.0,1.0,6.0
2008-03-30,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0
2008-03-31,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2008-04-01,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
2008-04-02,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2008-04-03,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-04-04,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-04-05,0.0,3.0,6.0,0.0,0.0,0.0,0.0,9.0
2008-04-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2008-04-07,0.0,0.0,43.0,0.0,0.0,0.0,0.0,43.0
2008-04-08,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
2008-04-09,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
2008-04-11,0.0,6.0,9.0,0.0,0.0,0.0,0.0,15.0
2008-04-13,0.0,0.0,18.0,0.0,0.0,0.0,1.0,19.0
2008-04-14,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
2008-04-15,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-04-16,0.0,0.0,7.0,0.0,0.0,0.0,3.0,10.0
2008-04-17,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0
2008-04-20,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0
2008-04-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2008-04-24,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0
2008-04-25,0.0,0.0,15.0,0.0,0.0,0.0,1.0,16.0
2008-04-26,0.0,0.0,202.0,0.0,0.0,0.0,0.0,202.0
2008-04-29,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-04-30,0.0,0.0,5.0,0.0,0.0,0.0,6.0,11.0
2008-05-01,0.0,12.0,2.0,0.0,0.0,0.0,0.0,14.0
2008-05-02,0.0,0.0,9.0,0.0,0.0,0.0,2.0,11.0
2008-05-03,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0
2008-05-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2008-05-07,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0
2008-05-08,0.0,0.0,5.0,0.0,0.0,0.0,10.0,15.0
2008-05-11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2008-05-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2008-05-13,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-05-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2008-05-19,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-05-21,0.0,20.0,2.0,0.0,0.0,0.0,0.0,22.0
2008-05-22,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0
2008-05-23,0.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0
2008-05-24,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0
2008-05-25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-05-26,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2008-05-27,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
2008-05-28,0.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0
2008-05-29,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-05-30,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
2008-05-31,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
2008-06-03,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2008-06-06,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
2008-06-07,0.0,5.0,2.0,0.0,0.0,0.0,1.0,8.0
2008-06-09,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-06-14,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
2008-06-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2008-06-17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2008-06-19,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
2008-06-20,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-06-21,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2008-06-26,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-07-06,0.0,4.0,12.0,0.0,0.0,0.0,0.0,16.0
2008-07-07,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
2008-07-08,0.0,0.0,35.0,0.0,0.0,0.0,0.0,35.0
2008-07-11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
2008-07-12,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
2008-07-14,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
2008-07-15,0.0,0.0,59.0,0.0,0.0,0.0,2.0,61.0
2008-07-16,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
2008-07-17,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
2008-07-18,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
2008-07-19,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-07-20,0.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0
2008-07-21,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-07-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-07-23,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
2008-07-27,0.0,9.0,2.0,0.0,0.0,0.0,0.0,11.0
2008-07-30,0.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0
2008-07-31,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0
2008-08-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-08-03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2008-08-06,0.0,2.0,21.0,0.0,0.0,0.0,2.0,25.0
2008-08-07,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0
2008-08-08,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
2008-08-09,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0
2008-08-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2008-08-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2008-08-13,0.0,3.0,98.0,0.0,0.0,0.0,4.0,105.0
2008-08-18,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
2008-08-19,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-08-20,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0
2008-08-22,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0
2008-08-24,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
2008-08-25,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-08-30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2008-08-31,0.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0
2008-09-01,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
2008-09-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2008-09-06,0.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0
2008-09-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-09-08,0.0,0.0,21.0,0.0,0.0,0.0,1.0,22.0
2008-09-09,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
2008-09-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2008-09-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2008-09-15,0.0,0.0,76.0,0.0,0.0,0.0,1.0,77.0
2008-09-16,0.0,4.0,11.0,0.0,0.0,0.0,1.0,16.0
2008-09-18,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-09-20,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0
2008-09-23,0.0,0.0,8.0,0.0,0.0,0.0,6.0,14.0
2008-09-24,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0
2008-09-26,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-09-27,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0
2008-09-28,0.0,0.0,18.0,0.0,0.0,0.0,3.0,21.0
2008-09-29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2008-09-30,0.0,0.0,5.0,0.0,0.0,0.0,4.0,9.0
2008-10-01,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0
2008-10-02,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0
2008-10-03,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
2008-10-04,0.0,3.0,75.0,0.0,0.0,0.0,0.0,78.0
2008-10-05,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0
2008-10-06,0.0,0.0,53.0,0.0,0.0,0.0,2.0,55.0
2008-10-08,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0
2008-10-11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2008-10-15,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
2008-10-16,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-10-18,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-10-19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-10-22,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-10-25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2008-10-29,0.0,0.0,88.0,0.0,0.0,0.0,2.0,90.0
2008-11-02,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2008-11-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
2008-11-13,0.0,0.0,14.0,0.0,0.0,0.0,6.0,20.0
2008-11-16,0.0,0.0,10.0,0.0,0.0,0.0,5.0,15.0
2008-11-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2008-11-18,0.0,21.0,24.0,0.0,0.0,0.0,0.0,45.0
2008-11-20,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
2008-11-26,0.0,11.0,23.0,0.0,0.0,0.0,0.0,34.0
2008-11-27,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0
2008-11-28,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
2008-12-02,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
2008-12-03,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
2008-12-05,0.0,0.0,16.0,0.0,0.0,0.0,1.0,17.0
2008-12-08,0.0,0.0,23.0,0.0,0.0,0.0,1.0,24.0
2008-12-09,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0
2008-12-11,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
2008-12-12,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2008-12-13,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
