as_rank,as_number,as_name,org_name,as_type,no_ases,no_ip4_prefixes,no_ip4_addresses,pc_ases,pc_ip4_prefixes,pc_ip4_addresses,as_transit_degree
1,3356,LEVEL3,"Level 3 Communications, Inc.",Tr/Ac,"26,001","385,686","1,491,396,364",56%,64%,69%,4082
2,174,COGENT-174,Cogent Communications,Tr/Ac,"18,242","248,367","738,311,800",39%,41%,34%,4418
3,1299,TELIANET,TeliaSonera International Carrier,Tr/Ac,"15,860","295,861","816,891,187",34%,49%,38%,892
4,3257,TINET-BACK...,Tinet Spa,Tr/Ac,"15,764","255,370","766,261,579",34%,42%,35%,1056
5,2914,NTT-COMMUN...,"NTT America, Inc.",Tr/Ac,"15,464","263,593","967,717,471",33%,44%,45%,1130
6,6453,AS6453,TATA COMMUNICATIONS (AMERICA) INC,Tr/Ac,"11,434","210,679","693,241,919",24%,35%,32%,630
7,6762,SEABONE-NET,TELECOM ITALIA SPARKLE S.p.A.,Tr/Ac,"10,616","197,345","450,104,039",22%,33%,20%,340
8,3549,LVLT-3549,"Level 3 Communications, Inc.",Tr/Ac,"8,591","190,063","541,955,194",18%,31%,25%,3611
9,7018,ATT-INTERNET4,"AT&T Services, Inc.",Tr/Ac,"6,906","97,279","531,951,191",14%,16%,24%,2399
10,6939,HURRICANE,"Hurricane Electric, Inc.",Tr/Ac,"6,649","99,656","356,084,222",14%,16%,16%,3539
11,2828,XO-AS15,XO Communications,Tr/Ac,"6,219","137,046","429,966,738",13%,22%,20%,1099
12,1273,CW,Cable and Wireless Worldwide plc,Tr/Ac,"5,747","79,377","267,106,353",12%,13%,12%,348
13,3491,BTN-ASN,"Beyond The Network America, Inc.",Tr/Ac,"5,699","159,334","365,612,742",12%,26%,17%,536
14,701,UUNET,"MCI Communications Services, Inc. d/b/a Verizon Business",Tr/Ac,"5,064","112,919","856,924,063",10%,18%,39%,1558
15,1239,SPRINTLINK,Sprint,Tr/Ac,"3,634","110,856","532,321,869",7.9%,18%,24%,687
16,6461,ABOVENET,"Abovenet Communications, Inc",Tr/Ac,"3,584","42,278","183,329,286",7.7%,7.1%,8.5%,1336
17,3320,DTAG,Deutsche Telekom AG,Tr/Ac,"3,549","78,220","388,682,135",7.7%,13%,18%,536
18,209,ASN-QWEST,"Qwest Communications Company, LLC",Tr/Ac,"3,169","50,418","290,318,675",6.8%,8.5%,13%,1607
19,9002,RETN-AS,RETN Limited,Tr/Ac,"2,817","18,013","26,774,907",6.1%,3.0%,1.2%,1397
20,20485,TRANSTELECOM,TransTelecom,Tr/Ac,"2,447","18,806","30,438,400",5.3%,3.2%,1.4%,1610
21,4323,TWTC,"tw telecom holdings, inc.",Tr/Ac,"2,254","24,928","70,617,420",4.9%,4.2%,3.3%,1945
22,12389,ROSTELECOM-AS,OJSC Rostelecom,Tr/Ac,"2,102","18,395","39,312,632",4.5%,3.1%,1.8%,626
23,3216,SOVAM-AS,"OJSC ""Vimpelcom""",Tr/Ac,"1,992","13,704","23,949,813",4.3%,2.3%,1.1%,746
24,7473,SINGTEL-AS-AP,Singapore Telecommunications Ltd,Tr/Ac,"1,929","62,920","152,140,650",4.2%,10%,7.1%,301
25,31133,MF-MGSM-AS,OJSC MegaFon,Tr/Ac,"1,609","39,640","23,579,339",3.5%,6.6%,1.1%,1274
26,8359,MTS,MTS OJSC,Tr/Ac,"1,603","9,318","18,050,283",3.5%,1.6%,0.84%,474
27,7922,COMCAST-7922,"Comcast Cable Communications, Inc.",Tr/Ac,"1,446","21,030","119,092,172",3.1%,3.5%,5.5%,153
28,8928,INTEROUTE,Interoute Communications Limited,Tr/Ac,"1,444","16,333","58,857,761",3.1%,2.7%,2.7%,663
29,10026,PACNET,Pacnet Global Ltd,Tr/Ac,"1,311","59,755","196,917,309",2.8%,10%,9.2%,667
30,12956,Telefonica,Telefonica Backbone Autonomous System,Tr/Ac,"1,299","46,468","144,990,393",2.8%,7.8%,6.8%,170
31,20562,OPEN-PEERI...,"Open Peering Initiative, Amsterdam, The Netherlands",Tr/Ac,"1,287","36,513","165,394,915",2.8%,6.1%,7.7%,337
32,286,KPN,KPN International / KPN Eurorings,Tr/Ac,"1,264","18,134","72,225,232",2.7%,3.0%,3.4%,308
33,4436,AS-GTT-4436,"nLayer Communications, Inc.",Tr/Ac,"1,245","29,600","74,743,390",2.7%,5.0%,3.5%,350
34,702,UUNET,"MCI Communications Services, Inc. d/b/a Verizon Business",Tr/Ac,"1,160","14,917","37,666,174",2.5%,2.5%,1.8%,358
35,9498,BBIL-AP,BHARTI Airtel Ltd.,Tr/Ac,"1,113","35,283","76,630,149",2.4%,5.9%,3.6%,519
36,5511,Opentransit,Orange S.A.,Tr/Ac,"1,099","20,963","121,089,926",2.4%,3.5%,5.6%,154
37,3561,SAVVIS,Savvis,Tr/Ac,"1,072","34,918","272,157,420",2.3%,5.9%,12%,281
38,13030,INIT7,Init Seven AG,Tr/Ac,"1,023","58,138","192,275,939",2.2%,9.8%,9.0%,480
39,2516,KDDI,KDDI CORPORATION,Tr/Ac,978,"40,287","260,486,803",2.1%,6.8%,12%,339
40,22388,TRANSPAC,Indiana University,Tr/Ac,970,"10,198","117,107,878",2.1%,1.7%,5.5%,11
41,15412,FLAG-AS,Reliance Globalcom Limited,Tr/Ac,948,"31,653","67,214,273",2.0%,5.3%,3.1%,277
42,20764,RASCOM-AS,"CJSC Rascom, St.Petersburg, Russia",Tr/Ac,948,"4,267","8,452,696",2.0%,0.72%,0.39%,484
43,4766,KIXS-AS-KR,Korea Telecom,Tr/Ac,903,"37,541","360,821,343",2.0%,6.3%,16%,439
44,11537,ABILENE,Internet2,Tr/Ac,899,"9,381","105,096,695",1.9%,1.6%,4.9%,93
45,21219,Datagroup,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",Tr/Ac,815,"5,776","4,653,062",1.8%,0.97%,0.22%,404
46,6772,IMPNET-AS,ImproWare AG,Tr/Ac,802,"56,891","186,734,693",1.7%,9.5%,8.7%,23
47,4637,ASN-TELSTR...,Telstra Global,Tr/Ac,771,"23,182","78,531,375",1.7%,3.9%,3.7%,225
48,18881,(no data),Global Village Telecom,Tr/Ac,760,"13,527","11,411,506",1.6%,2.3%,0.53%,588
49,50384,W-IX_LTD,W-IX LTD,Tr/Ac,748,"7,257","17,229,999",1.6%,1.2%,0.80%,305
50,29076,CITYTELECO...,"Filanco, ltd.",Co,742,"3,557","4,033,861",1.6%,0.60%,0.19%,558
51,7843,TWCABLE-BA...,Time Warner Cable Internet LLC,Tr/Ac,728,"9,695","56,964,832",1.6%,1.6%,2.7%,57
52,9304,HUTCHISON-...,Hutchison Global Communications,Tr/Ac,704,"26,220","72,162,116",1.5%,4.4%,3.4%,261
53,5588,GTSCE,GTS Czech s.r.o.,Tr/Ac,699,"2,789","4,987,561",1.5%,0.47%,0.23%,634
54,8220,COLT,COLT Technology Services Group Limited,Tr/Ac,659,"4,684","45,079,180",1.4%,0.79%,2.1%,653
55,5580,HIBERNIA,"Atrato Communications, Inc.",Tr/Ac,649,"10,152","18,267,442",1.4%,1.7%,0.85%,815
56,6830,LGI-UPC,Liberty Global Operations BV,Tr/Ac,643,"4,804","18,675,778",1.4%,0.81%,0.87%,641
57,8218,NEO-ASN,Neo Telecoms S.A.S.,Tr/Ac,578,"2,707","6,947,472",1.2%,0.45%,0.32%,685
58,7474,OPTUSCOM-A...,SingTel Optus Pty Ltd,Tr/Ac,576,"14,998","52,206,365",1.2%,2.5%,2.4%,169
59,12741,AS-NETIA,Netia SA,Tr/Ac,565,"1,690","21,679,712",1.2%,0.28%,1.0%,485
60,16735,(no data),Companhia de Telecomunicacoes do Brasil Central,Tr/Ac,563,"11,310","20,487,844",1.2%,1.9%,0.95%,492
61,11164,INTERNET2-...,Internet2,Tr/Ac,561,"4,105","92,523,853",1.2%,0.69%,4.3%,119
62,4755,TATACOMM-AS,TATA Communications formerly VSNL is Leading ISP,Tr/Ac,552,"22,640","31,795,724",1.2%,3.8%,1.5%,382
63,4713,OCN,NTT Communications Corporation,Tr/Ac,542,"17,442","187,747,842",1.2%,2.9%,8.7%,162
64,8657,CPRM,PT Comunicacoes S A,Tr/Ac,535,"10,059","22,890,506",1.2%,1.7%,1.1%,417
65,28917,Fiord-AS,"JSC ""TRC FIORD""",Tr/Ac,535,"4,138","3,913,216",1.2%,0.69%,0.18%,1070
66,12874,FASTWEB,Fastweb SpA,Tr/Ac,523,"6,661","68,046,082",1.1%,1.1%,3.2%,475
67,4826,VOCUS-BACK...,Vocus Connect International Backbone,Tr/Ac,504,"7,463","8,893,841",1.1%,1.3%,0.41%,393
68,22773,ASN-CXA-AL...,Cox Communications Inc.,Tr/Ac,488,"8,054","21,116,716",1.1%,1.4%,0.98%,465
69,7738,(no data),Telemar Norte Leste S.A.,Tr/Ac,487,"9,740","19,452,426",1.1%,1.6%,0.91%,189
70,24724,ATMAN-Fore...,KSU Provector Mariusz Dziakowicz,Tr/Ac,483,"1,338","3,017,600",1.0%,0.22%,0.14%,195
71,262589,(no data),INTERNEXA Brasil Operadora de Telecomunicações S.A,Tr/Ac,470,"12,424","12,756,944",1.0%,2.1%,0.59%,134
72,3303,SWISSCOM,Swisscom (Switzerland) Ltd,Tr/Ac,458,"4,840","20,649,870",0.99%,0.81%,0.96%,453
73,7545,TPG-INTERN...,TPG Telecom Limited,Tr/Ac,449,"14,381","28,678,432",0.97%,2.4%,1.3%,56
