,0
262144,2304
1,17047560
2,17049344
3,17096704
4,1336584
262149,2816
262150,106752
393223,352256
8,340480
393225,1024
262154,2560
393227,3072
12,164608
13,204032
14,339968
262159,10752
16,131072
17,426240
131090,225280
19,74752
20,111360
21,1792
393238,240128
262167,1024
24,199936
393220,1024
26,200448
27,140544
393244,256
29,131584
262174,1536
31,132352
32,396064
393249,261888
34,136448
35,139008
393252,256
6,24320
262182,1563136
262183,4096
262184,4864
41,169984
42,241408
262187,4096
44,23296
45,174856
46,132096
47,133376
262192,10496
262152,512
50,133632
262195,25529472
262196,13312
262197,137984
131126,512
131127,224512
131128,256
57,2701056
262202,14096
59,328448
393276,1536
393226,1792
262206,1546248
63,67584
64,139008
262210,66560
67,512
68,263168
393285,256
131142,29952
71,34029312
72,1102126
73,303104
262218,1280
393291,256
262220,9472
77,67584
78,132608
262223,2304
80,17086208
81,4250112
262226,280
262227,262144
84,135680
85,68864
262230,2048
87,689408
88,139264
89,133376
262234,3072
91,198912
92,65536
262237,18688
262238,256
262239,3072
131168,1024
262241,9984
262242,7168
262243,1024
262244,122880
101,2948096
102,66048
103,150784
262248,4608
262249,4096
106,4096
393323,256
262252,2048
109,1177856
262254,363531
111,199680
262256,3072
262257,528
114,768
262259,5120
116,119296
262261,256
262262,3072
262263,256
120,512
262164,1024
122,267264
393339,256
262268,2048
125,17408
262270,1024
127,276224
262272,5120
262273,2048
262274,23040
131,132096
132,329216
22,135936
262278,3072
131207,11264
262280,256
137,2890752
131210,4352
393239,1280
262284,4096
262285,1024
262286,2048
131215,7680
144,4864
145,967424
262290,3072
131219,512
262292,4096
262293,20480
131222,201216
151,147200
262296,3584
131225,256
262298,4608
262299,4096
156,134400
157,813824
158,1325056
159,198400
160,114944
161,4096
262306,1024
262307,4096
262308,2048
262309,2048
166,66048
262311,2048
262312,1024
262313,4096
262314,6144
262315,1024
262316,8192
173,66816
174,897402964
262319,2048
262320,1024
131249,4352
262322,2048
262323,6400
131252,512
262325,1024
26193,2304
262327,4096
262328,1024
262329,4096
262330,3072
187,4608
188,137216
262333,3072
190,66816
262335,2048
262336,10240
131265,1536
194,198400
195,223232
196,131072
262341,10240
262342,9216
33,200960
262344,1024
262345,2048
262346,7168
393419,256
262348,1024
205,65536
206,740096
131279,1536
262352,6144
209,420300474
210,2496768
262355,15616
131284,14848
213,32768
262358,256
262359,4096
262360,6144
217,327680
262362,3072
262363,15616
262364,3072
262365,4096
262366,30720
37,67328
224,1249792
225,164608
226,7250688
131299,1024
131300,8448
262373,1024
262374,9728
262375,32512
262376,3072
262377,9216
262378,6400
131307,8192
262380,4096
237,18168576
131310,30976
239,331520
262384,1024
262385,4096
131314,256
243,300800
131316,512
131317,768
246,602112
262391,8192
131320,158720
262393,5120
262394,11520
251,6660448
