,Malware,Phishing,Exploits,Fraudlent Services,Unwanted Programs,Spammers,Unlabelled
35236,1439,18,161,162,13,4,0
35540,4,3,0,0,0,0,0
35234,2,0,0,0,0,0,0
20057,78,0,0,0,0,0,0
60140,12,10,0,0,0,0,0
35548,37,2,0,0,0,0,0
35549,5,0,0,0,0,0,0
393573,1,0,0,0,0,0,0
21094,0,0,0,0,3,0,0
24028,2,0,0,0,0,0,0
28994,1,0,0,0,0,0,0
28996,2,0,0,0,0,0,0
28990,30,10,0,1,0,0,0
14472,2,0,0,0,0,0,0
55293,1780,541,43,435,12,0,0
63760,14,0,0,0,0,0,0
51269,18,6,0,0,0,0,0
19397,52,0,0,0,0,0,0
55298,31,23,5,5,0,0,0
51264,1,0,0,0,0,0,0
262294,1,0,0,0,0,0,0
132644,318,129,2,1,0,0,0
19390,482,0,0,0,0,0,0
131597,27,0,0,0,0,0,0
131596,610,0,0,7,0,0,0
206873,1,0,1,0,0,0,0
22264,0,0,0,8,0,0,0
52662,1,0,0,0,0,0,0
61171,1,0,0,0,0,0,0
61173,62,6,1,8,1,0,0
48896,35,118,2,0,0,0,0
48897,7,0,0,0,0,0,0
48894,65,25,0,0,0,0,0
6343,0,4,0,0,0,0,0
25061,1,0,0,0,0,0,0
43877,3,0,0,0,0,0,0
43870,145,6,0,0,0,0,0
43873,1,4,0,0,0,0,0
55341,4,0,0,0,0,0,0
262743,1,0,0,0,0,0,0
41537,1,0,0,0,0,0,0
262740,8,0,0,0,0,0,0
266045,1,0,0,0,0,0,0
262748,2,0,0,0,0,0,0
58143,0,1,0,0,0,0,0
43447,2,0,0,0,0,0,0
10479,0,1,0,0,0,0,0
135037,1,0,0,0,0,0,0
26198,1,0,0,0,0,0,0
198954,1,0,0,0,0,0,0
6799,108,21,2,0,0,0,0
56124,4,0,0,0,0,0,0
56127,4,0,0,3036,0,0,0
58142,1,3,0,0,0,0,0
52861,1,0,0,0,0,0,0
57292,0,0,21,0,0,0,0
57293,7,0,0,0,0,0,0
57297,2,0,7,3,0,0,0
25286,3,0,0,0,0,0,0
55836,3,0,0,0,3,0,0
271,19,0,0,0,0,0,0
15368,10,0,0,0,4,0,0
16257,50,0,1,0,0,0,0
7626,0,0,1,0,0,0,0
55831,6,0,0,0,0,0,0
278,780,0,0,0,0,0,0
36700,1,0,0,0,15,0,0
16700,39,0,0,0,0,0,0
42469,1,0,0,0,0,0,0
12019,1,0,0,0,0,0,0
264696,1,0,0,0,0,0,0
12015,1,1,0,0,0,0,0
22489,12978,231,1530,1279,155,98,0
12380,1,0,0,0,0,0,0
52469,2344,94,3,109,0,0,0
42083,2,0,1,0,0,0,0
17252,26,3,1,4,5,0,0
24811,2,1,0,0,0,0,0
53739,14,5,0,6,0,0,0
9528,6,0,0,0,0,0,0
57479,1,0,0,0,0,0,0
262298,1,0,0,0,0,0,0
57474,4,0,0,0,0,0,0
53732,9,0,0,0,0,0,0
10701,12,0,0,0,0,0,0
9255,0,4,0,0,0,0,0
57470,245,0,0,0,0,0,0
46793,0,0,0,0,6,0,0
24881,403,0,3,0,1,0,0
49569,0,0,0,0,2,0,0
21615,900,0,1,0,0,0,0
49561,108,0,0,0,0,0,0
49560,6,0,9,0,0,2,0
49562,30,0,0,0,0,0,0
52180,27,0,3,0,0,0,0
10893,0,0,0,0,3,0,0
203968,0,1,0,0,0,0,0
45110,1,0,0,0,0,0,0
203964,0,2,0,0,0,0,0
45113,2,0,0,0,0,0,0
262293,5,0,0,0,0,0,0
203612,0,13,0,0,0,0,0
45117,39,0,0,0,0,0,0
133349,3,0,0,0,0,0,0
48620,0,2,0,0,0,0,0
44793,0,0,1,0,0,0,0
44247,6,4,0,0,0,0,0
44244,13,0,2,0,0,0,0
41670,4,0,0,0,0,0,0
24088,4,2,0,0,0,0,0
58079,4,0,0,0,0,0,0
22871,1,0,0,0,0,0,0
200709,166,6,3,911,0,0,0
42832,5,0,0,0,0,0,0
24082,2,0,0,0,0,0,0
42830,1,1,0,0,0,0,0
42831,3975,57,43,243,5,43,0
22878,509,119,15,59,0,0,0
200702,18,0,0,0,0,0,0
24085,393,31,2,7,0,0,0
197451,22,1,0,2,0,0,0
38507,1,0,0,0,0,0,0
38506,6,0,0,0,0,0,0
38505,0,1,0,0,0,0,0
22260,8,0,0,0,0,0,0
48260,1,2,0,0,0,0,0
62819,0,0,0,6,0,0,0
24710,15,0,0,0,0,0,0
59347,3,0,0,0,0,0,0
199308,16,1,0,0,0,0,0
199309,1,0,0,0,0,0,0
2686,4,0,1,0,3,0,0
2687,1,0,0,0,0,0,0
2683,64,0,0,0,0,0,0
58765,14,0,0,0,0,0,0
14627,440,2,25,6,0,1,0
50594,2,0,0,0,0,0,0
58219,1,0,0,0,0,0,0
203653,1,0,0,0,0,0,0
264199,1,0,0,0,0,0,0
46549,540,237,11,48,6,0,0
30419,464,0,0,0,161,0,0
36157,3,0,0,0,0,0,0
13056,53,1,0,0,0,0,0
13054,0,0,0,0,2,0,0
13055,810,4,8,0,0,0,0
18703,2,0,0,0,2,0,0
48265,0,0,0,4,0,0,0
33854,11,0,1,18,0,0,0
33857,1,0,0,0,0,0,0
49719,12,0,0,4,0,0,0
41560,258,0,0,0,0,0,0
41563,151,0,0,0,0,0,0
17828,0,0,1,0,0,0,0
17827,0,3,0,0,0,0,0
17826,16,9,1,1,5,0,0
17824,1,0,0,0,0,0,0
17823,2,2,0,0,0,0,0
17820,23,0,0,0,0,0,0
21317,4,0,0,0,5,0,0
44376,11,0,0,4,0,0,0
20255,5,3,0,0,0,0,0
40966,7,0,0,0,0,0,0
133525,9,0,0,0,0,0,0
44425,24,0,0,0,0,0,0
40965,39,7,0,167,0,1,0
204057,2,0,0,1,0,0,0
29819,2,0,0,0,0,0,0
40961,2,0,0,0,0,0,0
29765,1,0,0,0,0,0,0
40749,2,0,0,0,0,0,0
29761,64,17,14,39,0,0,0
40969,17,0,0,0,0,0,0
47218,0,1,0,0,0,0,0
132124,0,4,0,0,0,0,0
47215,11,2,0,0,18,0,0
47217,68,3,4,1,0,0,0
23504,17,0,0,153,0,0,0
47213,0,1,0,0,0,0,0
16236,0,0,0,0,2,0,0
263339,4,0,0,0,0,0,0
24656,0,2,0,0,0,0,0
27616,1,12,0,0,0,0,0
27611,5,1,0,0,0,0,0
39596,4,6,0,0,0,0,0
39591,2,0,0,0,0,0,0
59037,8,25,3,0,0,0,0
39598,0,2,0,0,0,0,0
263179,0,0,0,2,0,0,0
31234,5,0,0,0,0,0,0
263173,2,0,0,0,0,0,0
29100,0,0,0,16,0,0,0
31239,95,0,0,0,0,0,0
29107,494,26,5,0,0,0,0
29106,726,0,305,0,0,5,0
17598,8,0,0,0,0,0,0
132052,2,1,0,3,0,0,0
6261,0,0,0,2,0,0,0
