,Exploits,Fraudlent Services,Malware,Phishing,Spammers,Unwanted Programs
35236,161.0,162.0,567.0,18.0,4.0,13.0
48440,0.0,2.0,5.0,4.0,1.0,0.0
48445,2.0,18.0,31.0,0.0,5.0,0.0
20910,7.0,2398.0,142.0,32.0,1.0,0.0
41011,6.0,6.0,43.0,1.0,2.0,0.0
10297,140.0,54.0,353.0,63.0,5.0,178.0
59729,5.0,91.0,212.0,42.0,4.0,0.0
18881,7.0,10.0,2247.0,69.0,2.0,0.0
34714,2.0,0.0,6.0,4.0,3.0,0.0
42872,67.0,14.0,94.0,0.0,1.0,0.0
4788,7.0,12.0,657.0,180.0,1.0,151.0
20564,14.0,0.0,72.0,0.0,2.0,0.0
49349,3.0,102.0,725.0,130.0,1.0,0.0
8309,5.0,2.0,15.0,15.0,3.0,0.0
197794,1.0,0.0,4.0,0.0,1.0,0.0
56400,1.0,0.0,22.0,4.0,1.0,1.0
36666,29.0,225.0,275.0,137.0,1.0,23.0
11388,34.0,15.0,108.0,0.0,1.0,0.0
39007,1.0,0.0,50.0,6.0,1.0,0.0
199577,0.0,0.0,14.0,0.0,4.0,0.0
393406,4.0,797.0,554.0,16.0,1.0,7.0
9931,28.0,107.0,667.0,166.0,2.0,0.0
54600,57.0,425.0,2380.0,1452.0,1.0,2.0
18779,7528.0,4796.0,17353.0,1407.0,765.0,40.0
2856,6.0,12.0,301.0,51.0,1.0,14.0
197726,22.0,223.0,338.0,40.0,2.0,2.0
6849,303.0,443.0,727.0,65.0,1.0,26.0
24151,1.0,3.0,13.0,0.0,4.0,0.0
12066,0.0,4.0,13.0,0.0,2.0,0.0
22169,0.0,0.0,5.0,0.0,1.0,0.0
43479,8.0,0.0,7.0,0.0,1.0,0.0
51764,5.0,0.0,5.0,0.0,1.0,0.0
44042,26.0,59.0,98.0,0.0,6.0,0.0
-1,10884.0,12884.0,94638.0,21482.0,112.0,42125.0
37963,87.0,717.0,2047.0,53753.0,15.0,472.0
32787,422.0,2681.0,6471.0,595.0,6.0,258.0
26484,34.0,129.0,629.0,736.0,4.0,11.0
21844,543.0,569.0,901.0,3.0,18.0,0.0
6724,183.0,1051.0,2211.0,780.0,6.0,40.0
21840,18.0,27.0,216.0,84.0,1.0,0.0
39369,32.0,48.0,77.0,32.0,2.0,110.0
24579,0.0,0.0,17.0,0.0,1.0,0.0
19871,19.0,597.0,451.0,112.0,1.0,42.0
29131,33.0,231.0,90.0,2.0,1.0,0.0
52093,55.0,0.0,23.0,0.0,2.0,0.0
22489,1530.0,1239.0,4786.0,231.0,98.0,155.0
5503,1.0,2.0,20.0,8.0,2.0,0.0
207199,1.0,4.0,12.0,0.0,2.0,0.0
4213,9.0,0.0,51.0,1.0,1.0,0.0
27716,32.0,21.0,55.0,0.0,6.0,0.0
27715,90.0,361.0,2880.0,746.0,6.0,0.0
6939,2371.0,1583.0,6281.0,1362.0,179.0,43.0
49560,9.0,0.0,6.0,0.0,2.0,0.0
4812,67.0,29.0,925.0,4393.0,5.0,179.0
42632,4.0,51.0,160.0,14.0,13.0,21.0
5577,304.0,933.0,1058.0,103.0,3.0,4.0
16810,3.0,0.0,9.0,0.0,1.0,0.0
36444,131.0,2228.0,1260.0,442.0,2.0,10.0
13335,2168.0,64816.0,54339.0,19905.0,90.0,5545.0
196954,94.0,2.0,92.0,0.0,8.0,0.0
29141,7.0,203.0,143.0,34.0,3.0,4.0
42730,8.0,31.0,189.0,116.0,4.0,0.0
34187,96.0,110.0,67.0,9.0,4.0,0.0
61387,10.0,56.0,371.0,73.0,2.0,9.0
28812,0.0,2.0,94.0,14.0,1.0,2.0
49467,11.0,126.0,615.0,52.0,2.0,0.0
32475,391.0,2945.0,10716.0,3994.0,13.0,251.0
197695,264.0,2752.0,7445.0,2845.0,52.0,55.0
19181,108.0,51.0,2.0,0.0,1.0,0.0
8342,159.0,3231.0,4025.0,874.0,7.0,133.0
34619,57.0,442.0,1593.0,499.0,6.0,0.0
42831,43.0,241.0,635.0,57.0,43.0,5.0
197328,14.0,1357.0,765.0,90.0,2.0,4.0
33070,414.0,1709.0,4868.0,1183.0,52.0,716.0
21859,8.0,137.0,2561.0,229.0,1.0,127.0
34300,3.0,107.0,259.0,5.0,25.0,0.0
48854,15.0,52.0,352.0,49.0,2.0,11.0
15244,92.0,392.0,974.0,485.0,1.0,5.0
60729,6.0,3.0,34.0,31.0,27.0,0.0
48361,4.0,1.0,96.0,0.0,1.0,0.0
24592,4.0,16.0,45.0,581.0,1.0,21.0
7418,0.0,0.0,330.0,0.0,1.0,0.0
50515,3.0,11.0,30.0,9.0,8.0,0.0
36024,66.0,2215.0,7220.0,2395.0,2.0,35.0
14627,25.0,6.0,84.0,2.0,1.0,0.0
